date,campaign_id,platform,ad_type,campaign_objective,target_region,target_age_group,target_gender,impressions,clicks,ctr_percent,spend_usd,cpc_usd,cpm_usd,conversions,conversion_rate_percent,roi,likes,shares,comments,engagement_rate_percent,Year,Month,Day,Quarter,Day_of_Week,Total_Engagement,Cost_Per_Conversion,High_ROI,High_Engagement
2023-04-11,CMP1102,Twitter/X,Video,App Installs,Europe,25-34,Female,3944,27,0.7,49.95,1.85,12.66,1,6.3,0.19,127,10,13,3.803,2023,4,11,2,Tuesday,150,49.95,0,0
2024-12-11,CMP1714,Facebook,Banner,Sales Conversion,South America,35-44,Female,3273,119,3.658,253.47,2.13,77.44,4,3.84,0.64,83,16,10,3.33,2024,12,11,4,Wednesday,109,63.3675,0,0
2024-09-23,CMP1632,LinkedIn,Search,App Installs,Europe,18-24,Female,11578,371,3.209,170.66,0.46,14.74,11,3.06,1.5,174,16,25,1.857,2024,9,23,3,Monday,215,15.514545454545454,1,0
2024-01-21,CMP1386,YouTube,Video,App Installs,Oceania,25-34,Other,11338,400,3.528,568.0,1.42,50.1,26,6.53,2.33,181,39,7,2.002,2024,1,21,1,Sunday,227,21.846153846153847,1,0
2023-08-27,CMP1239,LinkedIn,Video,App Installs,Europe,13-17,Other,3509,65,1.879,133.25,2.05,37.97,4,7.54,1.2,50,11,1,1.767,2023,8,27,3,Sunday,62,33.3125,0,0
2024-04-29,CMP1484,Facebook,Image,Lead Generation,Asia,13-17,Male,13391,271,2.028,211.38,0.78,15.79,19,7.13,1.34,412,26,26,3.465,2024,4,29,2,Monday,464,11.125263157894736,0,0
2023-04-29,CMP1122,Instagram,Video,Lead Generation,Asia,45-54,Female,23413,593,2.534,456.61,0.77,19.5,17,2.87,2.74,1369,146,63,6.74,2023,4,29,2,Saturday,1578,26.859411764705882,1,1
2024-03-30,CMP1454,Google Ads,Image,Sales Conversion,Africa,13-17,Male,8590,103,1.204,221.45,2.15,25.78,4,4.79,0.84,477,72,24,6.671,2024,3,30,1,Saturday,573,55.3625,0,1
2023-07-19,CMP1199,YouTube,Search,Brand Awareness,Asia,55+,Male,6963,293,4.222,55.67,0.19,8.0,16,5.63,2.42,252,61,7,4.596,2023,7,19,3,Wednesday,320,3.479375,1,1
2023-01-10,CMP1012,Instagram,Image,Sales Conversion,Europe,55+,Female,20701,796,3.846,1377.08,1.73,66.52,30,3.83,2.56,390,73,50,2.478,2023,1,10,1,Tuesday,513,45.90266666666666,1,0
